Running test (t=16.9)...
partitioning took 8004849 us
partitioning took 8004891 us
partitioning took 8004936 us
partitioning took 8004972 us
cycle   10    sim time 1.620e-05    dt 2.939e-06    time 5.484e-02 (per iteration) 5.484e-01 (total)
partitioning took 8004936 us
partitioning took 8004827 us
partitioning took 8004965 us
partitioning took 8004918 us
partitioning took 8004934 us
partitioning took 8004912 us
partitioning took 8004919 us
partitioning took 8004874 us
partitioning took 8004977 us
partitioning took 8004982 us
partitioning took 8004886 us
partitioning took 8004894 us
partitioning took 8004899 us
partitioning took 8004890 us
partitioning took 8004932 us
partitioning took 8004969 us
partitioning took 8004846 us
partitioning took 8004900 us
partitioning took 8004871 us
partitioning took 8004965 us
partitioning took 8004955 us
partitioning took 8004854 us
partitioning took 8004885 us
partitioning took 8004939 us
partitioning took 8003974 us
partitioning took 8004817 us
partitioning took 8004868 us
partitioning took 8004938 us
cycle   30    sim time 6.068e-05    dt 1.811e-06    time 2.666e-02 (per iteration) 1.094e+00 (total)
partitioning took 8004923 us
partitioning took 8005009 us
partitioning took 8004933 us
partitioning took 8004930 us
partitioning took 8004980 us
partitioning took 8004939 us
partitioning took 8004940 us
partitioning took 8004860 us
partitioning took 8004957 us
partitioning took 8004888 us
partitioning took 8004974 us
partitioning took 8004928 us
partitioning took 8004966 us
partitioning took 8004839 us
partitioning took 8004913 us
partitioning took 8004885 us
partitioning took 8004895 us
partitioning took 8004964 us
partitioning took 8004927 us
partitioning took 8004862 us
partitioning took 8004966 us
partitioning took 8004797 us
partitioning took 8004997 us
partitioning took 8004976 us
partitioning took 8004926 us
partitioning took 8004942 us
partitioning took 8004828 us
partitioning took 8004834 us
partitioning took 8004794 us
partitioning took 8004874 us
partitioning took 8004832 us
partitioning took 8004935 us
partitioning took 8004967 us
partitioning took 8004990 us
partitioning took 8004953 us
partitioning took 8004817 us
partitioning took 8004835 us
partitioning took 8004912 us
partitioning took 8004954 us
partitioning took 8004945 us
partitioning took 8004822 us
partitioning took 8004929 us
partitioning took 8004961 us
partitioning took 8004836 us
partitioning took 8004915 us
partitioning took 8004970 us
partitioning took 8004895 us
partitioning took 8004969 us
partitioning took 8004929 us
partitioning took 8004930 us
partitioning took 8004831 us
partitioning took 8004837 us
partitioning took 8004877 us
partitioning took 8004903 us
partitioning took 8004837 us
