Running test (t=16.9)...
partitioning took 7944031 us
partitioning took 7944019 us
partitioning took 7944022 us
partitioning took 7944047 us
partitioning took 7944025 us
cycle   50    sim time 9.579e-05    dt 1.683e-06    time 2.693e-02 (per iteration) 1.598e+00 (total)
partitioning took 7944071 us
cycle   10    sim time 1.620e-05    dt 2.939e-06    time 5.154e-02 (per iteration) 5.154e-01 (total)
partitioning took 7944021 us
partitioning took 7944015 us
partitioning took 7943956 us
partitioning took 7943979 us
partitioning took 7944029 us
partitioning took 7944053 us
partitioning took 7944021 us
partitioning took 7943981 us
partitioning took 7944025 us
partitioning took 7944038 us
partitioning took 7943935 us
partitioning took 7943916 us
partitioning took 7944010 us
partitioning took 7944069 us
partitioning took 7944004 us
partitioning took 7944037 us
partitioning took 7944139 us
partitioning took 7944103 us
partitioning took 7943986 us
partitioning took 7944012 us
partitioning took 7943962 us
partitioning took 7944029 us
partitioning took 7943996 us
partitioning took 7944065 us
partitioning took 7944043 us
partitioning took 7944036 us
partitioning took 7944031 us
partitioning took 7944013 us
partitioning took 7943965 us
partitioning took 7943999 us
partitioning took 7943971 us
partitioning took 7944029 us
partitioning took 7944012 us
partitioning took 7944021 us
partitioning took 7944022 us
partitioning took 7943973 us
partitioning took 7944030 us
partitioning took 7944002 us
partitioning took 7944048 us
partitioning took 7944043 us
partitioning took 7944030 us
partitioning took 7944035 us
partitioning took 7944030 us
partitioning took 7944027 us
partitioning took 7944029 us
partitioning took 7944021 us
partitioning took 7944015 us
partitioning took 7944018 us
partitioning took 7944026 us
partitioning took 7944030 us
partitioning took 7944020 us
partitioning took 7943975 us
partitioning took 7944020 us
partitioning took 7944006 us
partitioning took 7943937 us
partitioning took 7943994 us
partitioning took 7944029 us
partitioning took 7944043 us
partitioning took 7944016 us
partitioning took 7944032 us
partitioning took 7944024 us
partitioning took 7944037 us
partitioning took 7944035 us
partitioning took 7944024 us
partitioning took 7944027 us
partitioning took 7943966 us
partitioning took 7944037 us
partitioning took 7944030 us
partitioning took 7944019 us
partitioning took 7944004 us
partitioning took 7944022 us
partitioning took 7944020 us
partitioning took 7944032 us
partitioning took 7944029 us
partitioning took 7943955 us
partitioning took 7944037 us
partitioning took 7944019 us
cycle   70    sim time 1.282e-04    dt 1.564e-06    time 2.678e-02 (per iteration) 2.132e+00 (total)
partitioning took 7944019 us
partitioning took 7944048 us
partitioning took 7943931 us
partitioning took 7944026 us
partitioning took 7944134 us
partitioning took 7944058 us
partitioning took 7944024 us
partitioning took 7944049 us
cycle   30    sim time 6.068e-05    dt 1.811e-06    time 2.669e-02 (per iteration) 1.063e+00 (total)
partitioning took 7943914 us
partitioning took 7944011 us
partitioning took 7944011 us
partitioning took 7944021 us
partitioning took 7944033 us
partitioning took 7944026 us
partitioning took 7944084 us
partitioning took 7944030 us
partitioning took 7944063 us
partitioning took 7944032 us
partitioning took 7944000 us
partitioning took 7944049 us
partitioning took 7944022 us
partitioning took 7944036 us
partitioning took 7944030 us
partitioning took 7944050 us
partitioning took 7944032 us
Elapsed time = 2.665696e+00 (total)
partitioning took 7944033 us
partitioning took 7944034 us
partitioning took 7944025 us
partitioning took 7944019 us
partitioning took 7944017 us
partitioning took 7944019 us
partitioning took 7944013 us
partitioning took 7944064 us
partitioning took 7944032 us
partitioning took 7944030 us
partitioning took 7944035 us
partitioning took 7943960 us
partitioning took 7944029 us
partitioning took 7944033 us
partitioning took 7944039 us
