Running test (t=16.9)...
partitioning took 8203252 us
partitioning took 8203342 us
cycle   50    sim time 9.579e-05    dt 1.683e-06    time 2.715e-02 (per iteration) 1.599e+00 (total)
partitioning took 8203357 us
partitioning took 8203303 us
cycle   10    sim time 1.620e-05    dt 2.939e-06    time 5.135e-02 (per iteration) 5.135e-01 (total)
partitioning took 8203325 us
partitioning took 8203312 us
partitioning took 8203260 us
partitioning took 8203357 us
partitioning took 8203318 us
partitioning took 8203241 us
partitioning took 8203337 us
partitioning took 8203306 us
partitioning took 8203280 us
partitioning took 8203264 us
partitioning took 8203343 us
partitioning took 8203321 us
partitioning took 8203335 us
partitioning took 8203244 us
partitioning took 8203265 us
partitioning took 8203306 us
partitioning took 8203332 us
partitioning took 8203321 us
partitioning took 8203372 us
partitioning took 8203342 us
partitioning took 8203264 us
partitioning took 8203354 us
partitioning took 8203305 us
partitioning took 8203273 us
partitioning took 8203247 us
partitioning took 8203334 us
partitioning took 8203378 us
partitioning took 8203229 us
partitioning took 8203362 us
partitioning took 8203307 us
partitioning took 8203290 us
partitioning took 8203304 us
partitioning took 8203285 us
partitioning took 8203272 us
partitioning took 8203332 us
partitioning took 8203353 us
partitioning took 8203317 us
cycle   30    sim time 6.068e-05    dt 1.811e-06    time 2.660e-02 (per iteration) 1.061e+00 (total)
partitioning took 8203369 us
partitioning took 8203390 us
partitioning took 8203208 us
partitioning took 8203234 us
partitioning took 8203339 us
partitioning took 8203257 us
partitioning took 8203268 us
partitioning took 8203329 us
partitioning took 8203225 us
partitioning took 8203360 us
partitioning took 8203276 us
partitioning took 8203267 us
partitioning took 8203265 us
partitioning took 8203260 us
partitioning took 8203279 us
partitioning took 8203263 us
partitioning took 8203325 us
partitioning took 8203381 us
partitioning took 8203362 us
partitioning took 8203305 us
partitioning took 8203358 us
partitioning took 8203328 us
partitioning took 8203229 us
partitioning took 8203311 us
partitioning took 8203316 us
partitioning took 8203355 us
partitioning took 8203251 us
partitioning took 8203279 us
partitioning took 8203245 us
partitioning took 8203286 us
partitioning took 8203349 us
partitioning took 8203305 us
partitioning took 8203246 us
partitioning took 8203339 us
partitioning took 8203296 us
partitioning took 8203299 us
partitioning took 8203334 us
partitioning took 8203374 us
partitioning took 8203287 us
partitioning took 8203324 us
partitioning took 8203278 us
partitioning took 8203298 us
partitioning took 8203360 us
partitioning took 8203385 us
partitioning took 8203293 us
partitioning took 8203338 us
cycle   70    sim time 1.282e-04    dt 1.564e-06    time 2.659e-02 (per iteration) 2.131e+00 (total)
partitioning took 8203304 us
partitioning took 8203258 us
partitioning took 8203268 us
