problem_type = SOD
num_blocks = 128
interval_x = 64
interval_y = 64
interval_z = 65536
output_frequency = 101
time_steps = 50
length_x = 1.000000
length_y = 0.200000
length_z = 2.000000
ramp_angle = 0.000000
dt = 1e-08
wait = false
viscous = true
second_order_space = true
output_results = false
codegen: cross_product_array 1.940121e+00

Setup Time =   4.168696 s

ELAPSED TIME =  11.324 s
codegen: cross_product_array 1.939099e+00
codegen: cross_product_array 1.939108e+00
codegen: cross_product_array 1.939808e+00
codegen: cross_product_array 1.939575e+00
codegen: cross_product_array 1.939769e+00
codegen: cross_product_array 1.939138e+00
codegen: cross_product_array 1.939274e+00
codegen: cross_product_array 1.939675e+00
codegen: cross_product_array 1.939085e+00
codegen: cross_product_array 1.939403e+00
codegen: cross_product_array 1.939071e+00
codegen: cross_product_array 1.939095e+00
codegen: cross_product_array 1.939081e+00
codegen: cross_product_array 1.939768e+00
codegen: cross_product_array 1.939909e+00
codegen: cross_product_array 1.939361e+00
codegen: cross_product_array 1.939544e+00
codegen: cross_product_array 1.933073e+00
codegen: cross_product_array 1.939680e+00
codegen: cross_product_array 1.939309e+00
codegen: cross_product_array 1.939545e+00
codegen: cross_product_array 1.939257e+00
codegen: cross_product_array 1.939754e+00
codegen: cross_product_array 1.939640e+00
codegen: cross_product_array 1.939098e+00
codegen: cross_product_array 1.939564e+00
codegen: cross_product_array 1.939053e+00
codegen: cross_product_array 1.939289e+00
codegen: cross_product_array 1.939636e+00
codegen: cross_product_array 1.939229e+00
codegen: cross_product_array 1.939423e+00
codegen: cross_product_array 1.939483e+00
codegen: cross_product_array 1.939522e+00
codegen: cross_product_array 1.939809e+00
codegen: cross_product_array 1.939248e+00
codegen: cross_product_array 1.939217e+00
codegen: cross_product_array 1.939682e+00
codegen: cross_product_array 1.939591e+00
codegen: cross_product_array 1.939346e+00
codegen: cross_product_array 1.939773e+00
codegen: cross_product_array 1.939502e+00
codegen: cross_product_array 1.939511e+00
codegen: cross_product_array 1.939915e+00
codegen: cross_product_array 1.939386e+00
codegen: cross_product_array 1.939198e+00
codegen: cross_product_array 1.939331e+00
codegen: cross_product_array 1.939662e+00
codegen: cross_product_array 1.939204e+00
codegen: cross_product_array 1.939077e+00
codegen: cross_product_array 1.939266e+00
codegen: cross_product_array 1.939783e+00
codegen: cross_product_array 1.939526e+00
codegen: cross_product_array 1.939418e+00
codegen: cross_product_array 1.939178e+00
codegen: cross_product_array 1.939704e+00
codegen: cross_product_array 1.939323e+00
codegen: cross_product_array 1.939716e+00
codegen: cross_product_array 1.939476e+00
codegen: cross_product_array 1.939080e+00
codegen: cross_product_array 1.939756e+00
codegen: cross_product_array 1.939786e+00
codegen: cross_product_array 1.939545e+00
codegen: cross_product_array 1.938608e+00
codegen: cross_product_array 1.939695e+00
codegen: cross_product_array 1.939600e+00
codegen: cross_product_array 1.939543e+00
codegen: cross_product_array 1.939440e+00
codegen: cross_product_array 1.939817e+00
codegen: cross_product_array 1.939326e+00
codegen: cross_product_array 1.939474e+00
codegen: cross_product_array 1.939560e+00
codegen: cross_product_array 1.939302e+00
codegen: cross_product_array 1.939638e+00
codegen: cross_product_array 1.939962e+00
codegen: cross_product_array 1.939281e+00
codegen: cross_product_array 1.939691e+00
codegen: cross_product_array 1.939133e+00
codegen: cross_product_array 1.939901e+00
codegen: cross_product_array 1.939522e+00
codegen: cross_product_array 1.939148e+00
codegen: cross_product_array 1.939764e+00
codegen: cross_product_array 1.939143e+00
codegen: cross_product_array 1.939594e+00
codegen: cross_product_array 1.939570e+00
codegen: cross_product_array 1.939059e+00
codegen: cross_product_array 1.939727e+00
codegen: cross_product_array 1.939797e+00
codegen: cross_product_array 1.938825e+00
codegen: cross_product_array 1.939780e+00
codegen: cross_product_array 1.939273e+00
codegen: cross_product_array 1.939741e+00
codegen: cross_product_array 1.939492e+00
codegen: cross_product_array 1.939276e+00
codegen: cross_product_array 1.939769e+00
codegen: cross_product_array 1.939272e+00
codegen: cross_product_array 1.939669e+00
codegen: cross_product_array 1.939381e+00
codegen: cross_product_array 1.939231e+00
codegen: cross_product_array 1.939928e+00
codegen: cross_product_array 1.939511e+00
codegen: cross_product_array 1.939508e+00
codegen: cross_product_array 1.939220e+00
codegen: cross_product_array 1.939640e+00
codegen: cross_product_array 1.939465e+00
codegen: cross_product_array 1.939180e+00
codegen: cross_product_array 1.939536e+00
codegen: cross_product_array 1.939442e+00
codegen: cross_product_array 1.939298e+00
codegen: cross_product_array 1.939780e+00
codegen: cross_product_array 1.938836e+00
codegen: cross_product_array 1.939087e+00
codegen: cross_product_array 1.939553e+00
codegen: cross_product_array 1.939760e+00
codegen: cross_product_array 1.939281e+00
codegen: cross_product_array 1.939240e+00
codegen: cross_product_array 1.939173e+00
codegen: cross_product_array 1.939997e+00
codegen: cross_product_array 1.939600e+00
codegen: cross_product_array 1.939248e+00
codegen: cross_product_array 1.939295e+00
codegen: cross_product_array 1.939280e+00
codegen: cross_product_array 1.939810e+00
codegen: cross_product_array 1.939085e+00
codegen: cross_product_array 1.939334e+00
codegen: cross_product_array 1.939464e+00
codegen: cross_product_array 1.939205e+00
codegen: cross_product_array 1.939014e+00
