problem_type = SOD
num_blocks = 64
interval_x = 64
interval_y = 64
interval_z = 32768
output_frequency = 101
time_steps = 50
length_x = 1.000000
length_y = 0.200000
length_z = 2.000000
ramp_angle = 0.000000
dt = 1e-08
wait = false
viscous = true
second_order_space = true
output_results = false
codegen: cross_product_array 5.538440e-01

Setup Time =   2.414780 s

ELAPSED TIME =  11.319 s
codegen: cross_product_array 5.544120e-01
codegen: cross_product_array 5.544740e-01
codegen: cross_product_array 5.544540e-01
codegen: cross_product_array 5.544790e-01
codegen: cross_product_array 5.544220e-01
codegen: cross_product_array 5.544690e-01
codegen: cross_product_array 5.545070e-01
codegen: cross_product_array 5.544740e-01
codegen: cross_product_array 5.545010e-01
codegen: cross_product_array 5.544960e-01
codegen: cross_product_array 5.544940e-01
codegen: cross_product_array 5.544960e-01
codegen: cross_product_array 5.544880e-01
codegen: cross_product_array 5.544610e-01
codegen: cross_product_array 5.544850e-01
codegen: cross_product_array 5.545070e-01
codegen: cross_product_array 5.544760e-01
codegen: cross_product_array 5.545020e-01
codegen: cross_product_array 5.545190e-01
codegen: cross_product_array 5.544770e-01
codegen: cross_product_array 5.545050e-01
codegen: cross_product_array 5.544450e-01
codegen: cross_product_array 5.545790e-01
codegen: cross_product_array 5.544640e-01
codegen: cross_product_array 5.544800e-01
codegen: cross_product_array 5.545100e-01
codegen: cross_product_array 5.544860e-01
codegen: cross_product_array 5.544680e-01
codegen: cross_product_array 5.544730e-01
codegen: cross_product_array 5.544700e-01
codegen: cross_product_array 5.544150e-01
codegen: cross_product_array 5.545050e-01
codegen: cross_product_array 5.544690e-01
codegen: cross_product_array 5.544810e-01
codegen: cross_product_array 5.544850e-01
codegen: cross_product_array 5.545010e-01
codegen: cross_product_array 5.544640e-01
codegen: cross_product_array 5.544510e-01
codegen: cross_product_array 5.545020e-01
codegen: cross_product_array 5.545070e-01
codegen: cross_product_array 5.544800e-01
codegen: cross_product_array 5.545730e-01
codegen: cross_product_array 5.544980e-01
codegen: cross_product_array 5.544870e-01
codegen: cross_product_array 5.544820e-01
codegen: cross_product_array 5.544600e-01
codegen: cross_product_array 5.544940e-01
codegen: cross_product_array 5.544880e-01
codegen: cross_product_array 5.544780e-01
codegen: cross_product_array 5.545050e-01
codegen: cross_product_array 5.550460e-01
codegen: cross_product_array 5.545530e-01
codegen: cross_product_array 5.544640e-01
codegen: cross_product_array 5.544280e-01
codegen: cross_product_array 5.538710e-01
codegen: cross_product_array 5.544680e-01
codegen: cross_product_array 5.544960e-01
codegen: cross_product_array 5.544720e-01
codegen: cross_product_array 5.544420e-01
codegen: cross_product_array 5.545780e-01
codegen: cross_product_array 5.544790e-01
codegen: cross_product_array 5.544430e-01
codegen: cross_product_array 5.544560e-01
