problem_type = SOD
num_blocks = 128
interval_x = 64
interval_y = 64
interval_z = 65536
output_frequency = 101
time_steps = 50
length_x = 1.000000
length_y = 0.200000
length_z = 2.000000
ramp_angle = 0.000000
dt = 1e-08
wait = false
viscous = true
second_order_space = true
output_results = false
codegen: cross_product_array 1.999579e+00

Setup Time =   4.237945 s

ELAPSED TIME =  11.322 s
codegen: cross_product_array 1.999440e+00
codegen: cross_product_array 1.999534e+00
codegen: cross_product_array 1.999541e+00
codegen: cross_product_array 1.999518e+00
codegen: cross_product_array 1.999486e+00
codegen: cross_product_array 1.999507e+00
codegen: cross_product_array 1.999596e+00
codegen: cross_product_array 1.999571e+00
codegen: cross_product_array 1.999291e+00
codegen: cross_product_array 1.999553e+00
codegen: cross_product_array 1.999471e+00
codegen: cross_product_array 1.999619e+00
codegen: cross_product_array 1.999349e+00
codegen: cross_product_array 1.999601e+00
codegen: cross_product_array 1.999590e+00
codegen: cross_product_array 1.999621e+00
codegen: cross_product_array 1.999504e+00
codegen: cross_product_array 1.999643e+00
codegen: cross_product_array 1.999674e+00
codegen: cross_product_array 1.999359e+00
codegen: cross_product_array 2.000404e+00
codegen: cross_product_array 1.999534e+00
codegen: cross_product_array 1.999506e+00
codegen: cross_product_array 1.999549e+00
codegen: cross_product_array 1.999579e+00
codegen: cross_product_array 1.999497e+00
codegen: cross_product_array 1.999608e+00
codegen: cross_product_array 1.999429e+00
codegen: cross_product_array 1.999305e+00
codegen: cross_product_array 1.999725e+00
codegen: cross_product_array 1.999481e+00
codegen: cross_product_array 1.999676e+00
codegen: cross_product_array 1.999883e+00
codegen: cross_product_array 1.999344e+00
codegen: cross_product_array 1.999722e+00
codegen: cross_product_array 1.999102e+00
codegen: cross_product_array 1.999369e+00
codegen: cross_product_array 1.999366e+00
codegen: cross_product_array 1.999265e+00
codegen: cross_product_array 1.999551e+00
codegen: cross_product_array 1.999604e+00
codegen: cross_product_array 1.999345e+00
codegen: cross_product_array 1.999567e+00
codegen: cross_product_array 1.999501e+00
codegen: cross_product_array 1.999580e+00
codegen: cross_product_array 1.999506e+00
codegen: cross_product_array 1.999623e+00
codegen: cross_product_array 1.999578e+00
codegen: cross_product_array 1.999622e+00
codegen: cross_product_array 1.999338e+00
codegen: cross_product_array 1.999444e+00
codegen: cross_product_array 1.999575e+00
codegen: cross_product_array 1.999546e+00
codegen: cross_product_array 1.999501e+00
codegen: cross_product_array 1.998946e+00
codegen: cross_product_array 1.999613e+00
codegen: cross_product_array 1.999903e+00
codegen: cross_product_array 1.999541e+00
codegen: cross_product_array 1.999548e+00
codegen: cross_product_array 1.999516e+00
codegen: cross_product_array 1.999593e+00
codegen: cross_product_array 1.999451e+00
codegen: cross_product_array 1.999580e+00
codegen: cross_product_array 1.999593e+00
codegen: cross_product_array 1.999329e+00
codegen: cross_product_array 1.999357e+00
codegen: cross_product_array 1.999665e+00
codegen: cross_product_array 1.999552e+00
codegen: cross_product_array 1.999744e+00
codegen: cross_product_array 1.999221e+00
codegen: cross_product_array 1.999420e+00
codegen: cross_product_array 1.999354e+00
codegen: cross_product_array 1.999452e+00
codegen: cross_product_array 1.999321e+00
codegen: cross_product_array 1.999630e+00
codegen: cross_product_array 1.999547e+00
codegen: cross_product_array 1.999264e+00
codegen: cross_product_array 1.999504e+00
codegen: cross_product_array 1.999560e+00
codegen: cross_product_array 1.999283e+00
codegen: cross_product_array 1.999125e+00
codegen: cross_product_array 2.000580e+00
codegen: cross_product_array 1.999385e+00
codegen: cross_product_array 1.999364e+00
codegen: cross_product_array 1.999464e+00
codegen: cross_product_array 1.999620e+00
codegen: cross_product_array 1.999693e+00
codegen: cross_product_array 1.999757e+00
codegen: cross_product_array 1.999357e+00
codegen: cross_product_array 1.999921e+00
codegen: cross_product_array 1.999726e+00
codegen: cross_product_array 1.999676e+00
codegen: cross_product_array 1.999575e+00
codegen: cross_product_array 1.999629e+00
codegen: cross_product_array 1.999444e+00
codegen: cross_product_array 1.999566e+00
codegen: cross_product_array 1.999305e+00
codegen: cross_product_array 1.999657e+00
codegen: cross_product_array 1.999296e+00
codegen: cross_product_array 1.999469e+00
codegen: cross_product_array 1.999562e+00
codegen: cross_product_array 1.999378e+00
codegen: cross_product_array 1.999666e+00
codegen: cross_product_array 1.999321e+00
codegen: cross_product_array 1.999672e+00
codegen: cross_product_array 1.999587e+00
codegen: cross_product_array 1.999551e+00
codegen: cross_product_array 1.999386e+00
codegen: cross_product_array 1.999512e+00
codegen: cross_product_array 1.999668e+00
codegen: cross_product_array 1.999767e+00
codegen: cross_product_array 1.999530e+00
codegen: cross_product_array 1.999377e+00
codegen: cross_product_array 1.999548e+00
codegen: cross_product_array 1.999578e+00
codegen: cross_product_array 1.999278e+00
codegen: cross_product_array 1.999442e+00
codegen: cross_product_array 1.999601e+00
codegen: cross_product_array 1.999449e+00
codegen: cross_product_array 1.999530e+00
codegen: cross_product_array 1.999341e+00
codegen: cross_product_array 1.999489e+00
codegen: cross_product_array 1.999638e+00
codegen: cross_product_array 1.999344e+00
codegen: cross_product_array 1.999759e+00
codegen: cross_product_array 1.999717e+00
codegen: cross_product_array 1.999598e+00
