problem_type = SOD
num_blocks = 64
interval_x = 64
interval_y = 64
interval_z = 32768
output_frequency = 101
time_steps = 50
length_x = 1.000000
length_y = 0.200000
length_z = 2.000000
ramp_angle = 0.000000
dt = 1e-08
wait = false
viscous = true
second_order_space = true
output_results = false
codegen: cross_product_array 5.597550e-01

Setup Time =   2.433598 s

ELAPSED TIME =  11.316 s
codegen: cross_product_array 5.593370e-01
codegen: cross_product_array 5.594630e-01
codegen: cross_product_array 5.596110e-01
codegen: cross_product_array 5.596480e-01
codegen: cross_product_array 5.583920e-01
codegen: cross_product_array 5.595650e-01
codegen: cross_product_array 5.595640e-01
codegen: cross_product_array 5.595650e-01
codegen: cross_product_array 5.593240e-01
codegen: cross_product_array 5.593720e-01
codegen: cross_product_array 5.597000e-01
codegen: cross_product_array 5.594500e-01
codegen: cross_product_array 5.595700e-01
codegen: cross_product_array 5.596100e-01
codegen: cross_product_array 5.593770e-01
codegen: cross_product_array 5.595840e-01
codegen: cross_product_array 5.594000e-01
codegen: cross_product_array 5.592940e-01
codegen: cross_product_array 5.595900e-01
codegen: cross_product_array 5.593470e-01
codegen: cross_product_array 5.594860e-01
codegen: cross_product_array 5.598910e-01
codegen: cross_product_array 5.597990e-01
codegen: cross_product_array 5.594880e-01
codegen: cross_product_array 5.594630e-01
codegen: cross_product_array 5.594980e-01
codegen: cross_product_array 5.594870e-01
codegen: cross_product_array 5.594670e-01
codegen: cross_product_array 5.593910e-01
codegen: cross_product_array 5.593300e-01
codegen: cross_product_array 5.594330e-01
codegen: cross_product_array 5.596340e-01
codegen: cross_product_array 5.593670e-01
codegen: cross_product_array 5.594710e-01
codegen: cross_product_array 5.595940e-01
codegen: cross_product_array 5.596390e-01
codegen: cross_product_array 5.598020e-01
codegen: cross_product_array 5.594610e-01
codegen: cross_product_array 5.595600e-01
codegen: cross_product_array 5.595560e-01
codegen: cross_product_array 5.594940e-01
codegen: cross_product_array 5.595710e-01
codegen: cross_product_array 5.594970e-01
codegen: cross_product_array 5.595340e-01
codegen: cross_product_array 5.595870e-01
codegen: cross_product_array 5.594490e-01
codegen: cross_product_array 5.595030e-01
codegen: cross_product_array 5.593760e-01
codegen: cross_product_array 5.593780e-01
codegen: cross_product_array 5.595410e-01
codegen: cross_product_array 5.596270e-01
codegen: cross_product_array 5.595510e-01
codegen: cross_product_array 5.594360e-01
codegen: cross_product_array 5.596350e-01
codegen: cross_product_array 5.593500e-01
codegen: cross_product_array 5.595790e-01
codegen: cross_product_array 5.594150e-01
codegen: cross_product_array 5.596380e-01
codegen: cross_product_array 5.594610e-01
codegen: cross_product_array 5.595720e-01
codegen: cross_product_array 5.596070e-01
codegen: cross_product_array 5.595740e-01
codegen: cross_product_array 5.593510e-01
