problem_type = SOD
num_blocks = 64
interval_x = 64
interval_y = 64
interval_z = 32768
output_frequency = 101
time_steps = 50
length_x = 1.000000
length_y = 0.200000
length_z = 2.000000
ramp_angle = 0.000000
dt = 1e-08
wait = false
viscous = true
second_order_space = true
output_results = false
codegen: cross_product_array 5.742570e-01

Setup Time =   2.452127 s

ELAPSED TIME =  11.313 s
codegen: cross_product_array 5.739700e-01
codegen: cross_product_array 5.741390e-01
codegen: cross_product_array 5.738820e-01
codegen: cross_product_array 5.740250e-01
codegen: cross_product_array 5.734390e-01
codegen: cross_product_array 5.673050e-01
codegen: cross_product_array 5.740120e-01
codegen: cross_product_array 5.740860e-01
codegen: cross_product_array 5.739970e-01
codegen: cross_product_array 5.747010e-01
codegen: cross_product_array 5.740630e-01
codegen: cross_product_array 5.739580e-01
codegen: cross_product_array 5.739990e-01
codegen: cross_product_array 5.740190e-01
codegen: cross_product_array 5.739330e-01
codegen: cross_product_array 5.740630e-01
codegen: cross_product_array 5.739330e-01
codegen: cross_product_array 5.740570e-01
codegen: cross_product_array 5.740480e-01
codegen: cross_product_array 5.740350e-01
codegen: cross_product_array 5.739750e-01
codegen: cross_product_array 5.742400e-01
codegen: cross_product_array 5.738360e-01
codegen: cross_product_array 5.737220e-01
codegen: cross_product_array 5.738960e-01
codegen: cross_product_array 5.736880e-01
codegen: cross_product_array 5.741780e-01
codegen: cross_product_array 5.740610e-01
codegen: cross_product_array 5.740280e-01
codegen: cross_product_array 5.738070e-01
codegen: cross_product_array 5.740100e-01
codegen: cross_product_array 5.746650e-01
codegen: cross_product_array 5.740050e-01
codegen: cross_product_array 5.736960e-01
codegen: cross_product_array 5.739260e-01
codegen: cross_product_array 5.739460e-01
codegen: cross_product_array 5.740980e-01
codegen: cross_product_array 5.740590e-01
codegen: cross_product_array 5.735260e-01
codegen: cross_product_array 5.741080e-01
codegen: cross_product_array 5.741070e-01
codegen: cross_product_array 5.739060e-01
codegen: cross_product_array 5.738930e-01
codegen: cross_product_array 5.738720e-01
codegen: cross_product_array 5.733420e-01
codegen: cross_product_array 5.741130e-01
codegen: cross_product_array 5.740170e-01
codegen: cross_product_array 5.740440e-01
codegen: cross_product_array 5.739050e-01
codegen: cross_product_array 5.740780e-01
codegen: cross_product_array 5.739550e-01
codegen: cross_product_array 5.740420e-01
codegen: cross_product_array 5.738730e-01
codegen: cross_product_array 5.740000e-01
codegen: cross_product_array 5.740220e-01
codegen: cross_product_array 5.733330e-01
codegen: cross_product_array 5.739580e-01
codegen: cross_product_array 5.739920e-01
codegen: cross_product_array 5.740440e-01
codegen: cross_product_array 5.738460e-01
codegen: cross_product_array 5.740120e-01
codegen: cross_product_array 5.740140e-01
codegen: cross_product_array 5.741330e-01
