problem_type = SOD
num_blocks = 64
interval_x = 64
interval_y = 64
interval_z = 32768
output_frequency = 101
time_steps = 50
length_x = 1.000000
length_y = 0.200000
length_z = 2.000000
ramp_angle = 0.000000
dt = 1e-08
wait = false
viscous = true
second_order_space = true
output_results = false
codegen: cross_product_array 5.628000e-01

Setup Time =   2.491770 s

ELAPSED TIME =  11.320 s
codegen: cross_product_array 5.629540e-01
codegen: cross_product_array 5.629930e-01
codegen: cross_product_array 5.629350e-01
codegen: cross_product_array 5.628760e-01
codegen: cross_product_array 5.630260e-01
codegen: cross_product_array 5.629100e-01
codegen: cross_product_array 5.628490e-01
codegen: cross_product_array 5.629480e-01
codegen: cross_product_array 5.628940e-01
codegen: cross_product_array 5.629630e-01
codegen: cross_product_array 5.629360e-01
codegen: cross_product_array 5.629690e-01
codegen: cross_product_array 5.628990e-01
codegen: cross_product_array 5.629210e-01
codegen: cross_product_array 5.629780e-01
codegen: cross_product_array 5.629020e-01
codegen: cross_product_array 5.629220e-01
codegen: cross_product_array 5.628750e-01
codegen: cross_product_array 5.629060e-01
codegen: cross_product_array 5.628750e-01
codegen: cross_product_array 5.628160e-01
codegen: cross_product_array 5.629950e-01
codegen: cross_product_array 5.629850e-01
codegen: cross_product_array 5.629490e-01
codegen: cross_product_array 5.629330e-01
codegen: cross_product_array 5.629570e-01
codegen: cross_product_array 5.629270e-01
codegen: cross_product_array 5.630000e-01
codegen: cross_product_array 5.628880e-01
codegen: cross_product_array 5.630130e-01
codegen: cross_product_array 5.627010e-01
codegen: cross_product_array 5.630010e-01
codegen: cross_product_array 5.630200e-01
codegen: cross_product_array 5.629150e-01
codegen: cross_product_array 5.629990e-01
codegen: cross_product_array 5.630560e-01
codegen: cross_product_array 5.627960e-01
codegen: cross_product_array 5.628950e-01
codegen: cross_product_array 5.629600e-01
codegen: cross_product_array 5.629240e-01
codegen: cross_product_array 5.628230e-01
codegen: cross_product_array 5.629880e-01
codegen: cross_product_array 5.629140e-01
codegen: cross_product_array 5.630650e-01
codegen: cross_product_array 5.628190e-01
codegen: cross_product_array 5.629640e-01
codegen: cross_product_array 5.628860e-01
codegen: cross_product_array 5.628600e-01
codegen: cross_product_array 5.629820e-01
codegen: cross_product_array 5.629950e-01
codegen: cross_product_array 5.629590e-01
codegen: cross_product_array 5.628790e-01
codegen: cross_product_array 5.629110e-01
codegen: cross_product_array 5.628920e-01
codegen: cross_product_array 5.628640e-01
codegen: cross_product_array 5.630090e-01
codegen: cross_product_array 5.630220e-01
codegen: cross_product_array 5.629050e-01
codegen: cross_product_array 5.629120e-01
codegen: cross_product_array 5.629310e-01
codegen: cross_product_array 5.629160e-01
codegen: cross_product_array 5.628710e-01
codegen: cross_product_array 5.629290e-01
